product_id,product_name,category,subcategory,list_price,cost_price
P00090,Team Product 90,Sports,Team,1654.89,809.61
P00091,Phones Product 91,Electronics,Phones,988.33,558.31
P00092,Supplies Product 92,Office,Supplies,145.72,58.45
P00093,Audio Product 93,Electronics,Audio,2061.5,1211.19
P00094,Supplies Product 94,Office,Supplies,251.5,116.21
P00095,Mens Product 95,Apparel,Mens,1189.19,516.88
P00096,Tech Product 96,Office,Tech,1227.85,734.64
P00097,Cameras Product 97,Electronics,Cameras,974.94,498.49
P00098,Storage Product 98,Office,Storage,474.59,196.19
P00099,Tech Product 99,Office,Tech,665.87,433.56
P00100,Outdoor Product 100,Sports,Outdoor,386.32,235.25
P00101,Phones Product 101,Electronics,Phones,1673.67,1075.26
P00102,Paper Product 102,Office,Paper,576.51,241.15
P00103,Paper Product 103,Office,Paper,1052.39,590.03
P00104,Paper Product 104,Office,Paper,2205.32,1197.22
P00105,TVs Product 105,Electronics,TVs,2257.92,1387.02
P00106,Winter Product 106,Sports,Winter,2252.13,1441.67
P00107,Fitness Product 107,Sports,Fitness,309.5,194.1
P00108,Bedding Product 108,Home,Bedding,2430.69,1561.81
P00109,Kitchen Product 109,Home,Kitchen,1064.2,741.2
P00110,Supplies Product 110,Office,Supplies,2493.2,1466.42
P00111,Team Product 111,Sports,Team,806.18,498.32
P00112,Phones Product 112,Electronics,Phones,976.37,506.94
P00113,Kids Product 113,Apparel,Kids,1304.02,880.41
P00114,Cameras Product 114,Electronics,Cameras,1473.06,934.66
P00115,TVs Product 115,Electronics,TVs,382.61,218.08
P00116,Outdoor Product 116,Sports,Outdoor,2313.07,1315.69
P00117,Audio Product 117,Electronics,Audio,2170.01,1440.98
P00118,Storage Product 118,Office,Storage,963.78,525.91
P00119,Water Product 119,Sports,Water,103.29,49.85
P00120,Outdoor Product 120,Home,Outdoor,1525.55,927.68
P00121,TVs Product 121,Electronics,TVs,2225.04,1111.29
P00122,Kitchen Product 122,Home,Kitchen,1866.92,1262.51
P00123,Mens Product 123,Apparel,Mens,851.29,543.2
P00124,Kids Product 124,Apparel,Kids,2108.69,1386.4
P00125,Laptops Product 125,Electronics,Laptops,344.62,238.57
P00126,Storage Product 126,Office,Storage,680.86,357.47
P00127,Laptops Product 127,Electronics,Laptops,1109.87,748.09
P00128,Tech Product 128,Office,Tech,1901.14,1255.05
P00129,Cameras Product 129,Electronics,Cameras,1980.81,831.32
P00130,Water Product 130,Sports,Water,347.77,227.92
P00131,Outdoor Product 131,Sports,Outdoor,442.61,293.25
P00132,Kitchen Product 132,Home,Kitchen,631.23,338.93
P00133,Womens Product 133,Apparel,Womens,692.2,447.89
P00134,Water Product 134,Sports,Water,1592.17,696.04
P00135,Laptops Product 135,Electronics,Laptops,937.44,542.04
P00136,Tools Product 136,Home,Tools,1471.33,742.92
P00137,Decor Product 137,Home,Decor,1874.91,1137.42
P00138,Mens Product 138,Apparel,Mens,972.55,436.55
P00139,Fitness Product 139,Sports,Fitness,2144.21,1274.12
P00140,Decor Product 140,Home,Decor,1632.45,904.35
P00141,TVs Product 141,Electronics,TVs,2279.67,1354.61
P00142,Outdoor Product 142,Sports,Outdoor,567.19,330.39
P00143,Kids Product 143,Apparel,Kids,1065.28,546.43
P00144,Shoes Product 144,Apparel,Shoes,637.48,344.25
P00145,Winter Product 145,Sports,Winter,998.91,430.22
P00146,Team Product 146,Sports,Team,1408.03,814.03
P00147,Kids Product 147,Apparel,Kids,1714.19,933.41
P00148,Kids Product 148,Apparel,Kids,1605.08,1056.86
P00149,Kids Product 149,Apparel,Kids,479.02,265.95
P00150,Kitchen Product 150,Home,Kitchen,2015.52,1291.36
P00151,Water Product 151,Sports,Water,1654.72,999.83
P00152,TVs Product 152,Electronics,TVs,2493.7,1191.56
P00153,Tech Product 153,Office,Tech,976.8,401.07
P00154,Fitness Product 154,Sports,Fitness,864.49,530.81
P00155,Water Product 155,Sports,Water,2267.25,1363.89
P00156,Team Product 156,Sports,Team,2115.09,1379.44
P00157,Fitness Product 157,Sports,Fitness,741.52,401.34
P00158,Accessories Product 158,Apparel,Accessories,1909.67,868.75
P00159,Mens Product 159,Apparel,Mens,563.41,263.11
P00160,Shoes Product 160,Apparel,Shoes,1972.35,984.98
P00161,Accessories Product 161,Apparel,Accessories,742.19,486.4
P00162,Furniture Product 162,Office,Furniture,2167.32,1246.37
P00163,Outdoor Product 163,Sports,Outdoor,1185.83,543.54
P00164,TVs Product 164,Electronics,TVs,1329.3,696.46
P00165,Bedding Product 165,Home,Bedding,2480.95,1247.42
P00166,Water Product 166,Sports,Water,366.63,241.51
P00167,Kitchen Product 167,Home,Kitchen,1224.08,721.36
P00168,Decor Product 168,Home,Decor,1589.9,638.21
P00169,Womens Product 169,Apparel,Womens,1905.37,858.52
P00170,Tools Product 170,Home,Tools,1965.18,1245.78
P00171,Outdoor Product 171,Home,Outdoor,1089.94,576.39
P00172,Tech Product 172,Office,Tech,964.46,396.7
P00173,Decor Product 173,Home,Decor,2375.67,1586.0
P00174,Fitness Product 174,Sports,Fitness,54.61,21.91
P00175,Bedding Product 175,Home,Bedding,1736.88,874.18
P00176,Kitchen Product 176,Home,Kitchen,965.04,556.44
P00177,Kitchen Product 177,Home,Kitchen,2061.37,1008.96
P00178,Shoes Product 178,Apparel,Shoes,1822.3,1054.95
P00179,Shoes Product 179,Apparel,Shoes,2221.06,1551.73
P00180,Shoes Product 180,Apparel,Shoes,904.53,412.94
P00181,Furniture Product 181,Office,Furniture,578.76,357.76
P00182,Bedding Product 182,Home,Bedding,1837.85,1060.27
P00183,Kitchen Product 183,Home,Kitchen,922.81,549.22
P00184,TVs Product 184,Electronics,TVs,2192.59,1045.29
P00185,Winter Product 185,Sports,Winter,130.98,91.48
P00186,Phones Product 186,Electronics,Phones,130.11,56.56
P00187,Tech Product 187,Office,Tech,317.75,151.19
P00188,Bedding Product 188,Home,Bedding,1741.03,1025.63
P00189,Shoes Product 189,Apparel,Shoes,1657.54,992.44
P00190,Accessories Product 190,Apparel,Accessories,1518.03,669.68
P00191,Cameras Product 191,Electronics,Cameras,1799.73,783.46
P00192,Phones Product 192,Electronics,Phones,1249.37,728.01
P00193,Accessories Product 193,Apparel,Accessories,2433.07,1234.48
P00194,Storage Product 194,Office,Storage,409.33,231.04
P00195,Tools Product 195,Home,Tools,833.2,333.96
P00196,Phones Product 196,Electronics,Phones,2089.73,1255.31
P00197,Kitchen Product 197,Home,Kitchen,1951.02,824.33
P00198,Audio Product 198,Electronics,Audio,1614.4,866.97
P00199,Kids Product 199,Apparel,Kids,1166.05,501.33
P00200,Kitchen Product 200,Home,Kitchen,2132.1,1083.24
P00201,Shoes Product 201,Apparel,Shoes,1848.97,792.28
P00202,Phones Product 202,Electronics,Phones,2131.48,1276.77
P00203,Decor Product 203,Home,Decor,900.24,478.31
P00204,Team Product 204,Sports,Team,2197.4,940.24
P00205,Womens Product 205,Apparel,Womens,293.44,152.61
P00206,Storage Product 206,Office,Storage,2090.91,1269.12
P00207,Tech Product 207,Office,Tech,1625.63,1038.9
P00208,Laptops Product 208,Electronics,Laptops,1743.46,728.06
P00209,Kitchen Product 209,Home,Kitchen,1045.91,603.73
P00210,Water Product 210,Sports,Water,461.34,237.09
P00211,Accessories Product 211,Apparel,Accessories,81.75,49.49
P00212,Tools Product 212,Home,Tools,2301.79,998.7
P00213,Tech Product 213,Office,Tech,124.47,59.56
P00214,Mens Product 214,Apparel,Mens,1764.37,1064.58
P00215,Winter Product 215,Sports,Winter,567.72,389.87
P00216,Accessories Product 216,Apparel,Accessories,1312.53,800.87
P00217,TVs Product 217,Electronics,TVs,1657.67,786.69
P00218,Shoes Product 218,Apparel,Shoes,380.15,246.31
P00219,Outdoor Product 219,Sports,Outdoor,39.0,26.53
P00220,Water Product 220,Sports,Water,2131.16,1408.32
P00221,TVs Product 221,Electronics,TVs,808.38,403.6
P00222,Mens Product 222,Apparel,Mens,1272.25,719.01
P00223,Tech Product 223,Office,Tech,2044.59,866.19
P00224,Paper Product 224,Office,Paper,1125.77,739.6
P00225,Storage Product 225,Office,Storage,305.58,167.83
P00226,Phones Product 226,Electronics,Phones,1014.56,416.73
P00227,Outdoor Product 227,Sports,Outdoor,2066.51,1317.47
P00228,Team Product 228,Sports,Team,2226.38,1266.14
P00229,Storage Product 229,Office,Storage,914.72,380.78
P00230,Tools Product 230,Home,Tools,836.61,527.25
P00231,Water Product 231,Sports,Water,1794.48,913.37
P00232,Furniture Product 232,Office,Furniture,252.62,150.98
P00233,Audio Product 233,Electronics,Audio,894.3,527.72
P00234,Accessories Product 234,Apparel,Accessories,1309.74,799.76
P00235,Laptops Product 235,Electronics,Laptops,1236.13,799.22
P00236,Furniture Product 236,Office,Furniture,643.18,295.08
P00237,TVs Product 237,Electronics,TVs,546.82,353.99
P00238,Decor Product 238,Home,Decor,278.34,145.95
P00239,Outdoor Product 239,Sports,Outdoor,1932.64,1034.25
P00240,Winter Product 240,Sports,Winter,345.24,189.76
P00241,Outdoor Product 241,Sports,Outdoor,1387.53,735.17
P00242,Water Product 242,Sports,Water,2311.68,1466.36
P00243,Outdoor Product 243,Home,Outdoor,442.39,285.15
P00244,TVs Product 244,Electronics,TVs,1647.23,958.44
P00245,Accessories Product 245,Apparel,Accessories,2204.66,1158.77
P00246,Fitness Product 246,Sports,Fitness,691.25,476.33
P00247,Shoes Product 247,Apparel,Shoes,2013.94,889.06
P00248,Winter Product 248,Sports,Winter,754.29,460.46
P00249,Accessories Product 249,Apparel,Accessories,1585.13,729.58
P00250,Team Product 250,Sports,Team,1719.66,1163.1
P00251,Bedding Product 251,Home,Bedding,1264.69,769.3
P00252,Mens Product 252,Apparel,Mens,1904.33,1082.96
P00253,Winter Product 253,Sports,Winter,2357.26,1445.09
P00254,Team Product 254,Sports,Team,2194.92,1156.1
P00255,Cameras Product 255,Electronics,Cameras,275.11,141.48
P00256,Phones Product 256,Electronics,Phones,507.76,317.38
P00257,Decor Product 257,Home,Decor,1711.64,759.85
P00258,Audio Product 258,Electronics,Audio,517.96,291.28
P00259,Shoes Product 259,Apparel,Shoes,265.18,175.13
P00260,Fitness Product 260,Sports,Fitness,1858.61,1056.4
P00261,Outdoor Product 261,Home,Outdoor,1962.92,1255.57
P00262,Mens Product 262,Apparel,Mens,2316.95,1196.16
P00263,Accessories Product 263,Apparel,Accessories,143.97,89.71
P00264,Outdoor Product 264,Home,Outdoor,2173.44,1430.41
P00265,Supplies Product 265,Office,Supplies,2279.6,1393.72
P00266,Accessories Product 266,Apparel,Accessories,1371.07,796.61
P00267,Decor Product 267,Home,Decor,1127.55,783.69
P00268,Laptops Product 268,Electronics,Laptops,2406.56,1493.33
P00269,TVs Product 269,Electronics,TVs,111.18,53.78
P00270,Womens Product 270,Apparel,Womens,410.71,268.52
P00271,Audio Product 271,Electronics,Audio,1171.17,797.86
P00272,Laptops Product 272,Electronics,Laptops,2322.28,1344.75
P00273,Team Product 273,Sports,Team,1231.47,704.16
P00274,Mens Product 274,Apparel,Mens,1962.24,972.01
P00275,Bedding Product 275,Home,Bedding,1306.31,830.65
P00276,Tools Product 276,Home,Tools,1362.27,709.78
P00277,Womens Product 277,Apparel,Womens,2209.66,1323.59
P00278,Kids Product 278,Apparel,Kids,741.0,507.65
P00279,Winter Product 279,Sports,Winter,1192.39,677.75
P00280,Phones Product 280,Electronics,Phones,1675.66,894.3
P00281,Winter Product 281,Sports,Winter,617.13,254.23
P00282,Shoes Product 282,Apparel,Shoes,2290.67,1565.66
P00283,Storage Product 283,Office,Storage,1355.19,657.06
P00284,Team Product 284,Sports,Team,1290.63,713.23
P00285,Furniture Product 285,Office,Furniture,748.12,445.47
P00286,Accessories Product 286,Apparel,Accessories,215.04,92.21
P00287,Winter Product 287,Sports,Winter,28.25,11.85
P00288,Tools Product 288,Home,Tools,2090.81,965.27
P00289,Furniture Product 289,Office,Furniture,1869.76,834.15
P00290,Storage Product 290,Office,Storage,104.34,44.03
P00291,Decor Product 291,Home,Decor,1399.63,801.27
P00292,Decor Product 292,Home,Decor,1025.01,548.73
P00293,Tech Product 293,Office,Tech,797.85,412.37
P00294,Cameras Product 294,Electronics,Cameras,24.69,15.21
P00295,Cameras Product 295,Electronics,Cameras,123.34,80.72
P00296,Accessories Product 296,Apparel,Accessories,274.28,174.46
P00297,Accessories Product 297,Apparel,Accessories,225.4,141.91
P00298,Tech Product 298,Office,Tech,993.83,594.53
P00299,Supplies Product 299,Office,Supplies,1338.33,590.09
P00300,Paper Product 300,Office,Paper,744.5,439.41
P00301,Kids Product 301,Apparel,Kids,2393.91,965.57
P00302,Fitness Product 302,Sports,Fitness,316.86,127.22
P00303,Water Product 303,Sports,Water,1347.51,921.82
P00304,Womens Product 304,Apparel,Womens,1873.26,1257.08
P00305,Womens Product 305,Apparel,Womens,1037.51,616.05
P00306,Fitness Product 306,Sports,Fitness,410.78,191.52
P00307,Womens Product 307,Apparel,Womens,295.41,177.63
P00308,Outdoor Product 308,Sports,Outdoor,2129.96,1447.76
P00309,Water Product 309,Sports,Water,1615.24,681.54
P00310,Audio Product 310,Electronics,Audio,254.52,157.21
P00311,Storage Product 311,Office,Storage,899.27,540.81
P00312,Kitchen Product 312,Home,Kitchen,719.99,303.07
P00313,Decor Product 313,Home,Decor,1219.79,608.07
P00314,Accessories Product 314,Apparel,Accessories,389.46,222.02
P00315,Shoes Product 315,Apparel,Shoes,429.91,212.36
P00316,Tools Product 316,Home,Tools,698.93,354.95
P00317,Shoes Product 317,Apparel,Shoes,1162.49,590.11
P00318,Shoes Product 318,Apparel,Shoes,1383.66,626.43
P00319,Outdoor Product 319,Sports,Outdoor,2106.06,1384.97
P00320,Outdoor Product 320,Home,Outdoor,499.12,309.49
P00321,Phones Product 321,Electronics,Phones,2231.34,1461.25
P00322,Cameras Product 322,Electronics,Cameras,1451.46,915.52
P00323,Kitchen Product 323,Home,Kitchen,1383.47,778.95
P00324,Water Product 324,Sports,Water,1638.23,728.34
P00325,Supplies Product 325,Office,Supplies,2229.68,1286.26
P00326,Womens Product 326,Apparel,Womens,1167.11,645.56
P00327,Storage Product 327,Office,Storage,1260.4,754.73
P00328,Fitness Product 328,Sports,Fitness,1895.44,838.0
P00329,Bedding Product 329,Home,Bedding,1420.23,809.17
P00330,Tools Product 330,Home,Tools,2348.55,967.9
P00331,Supplies Product 331,Office,Supplies,166.52,85.06
P00332,Laptops Product 332,Electronics,Laptops,1299.53,828.37
P00333,Tech Product 333,Office,Tech,2295.58,1525.33
P00334,Audio Product 334,Electronics,Audio,267.03,184.39
P00335,Kids Product 335,Apparel,Kids,1450.79,828.47
P00336,Tech Product 336,Office,Tech,919.59,548.08
P00337,Cameras Product 337,Electronics,Cameras,636.45,440.3
P00338,Outdoor Product 338,Home,Outdoor,1020.55,658.43
P00339,Shoes Product 339,Apparel,Shoes,1983.72,1321.46
P00340,Cameras Product 340,Electronics,Cameras,2206.27,1173.67
P00341,Kitchen Product 341,Home,Kitchen,1291.21,625.26
P00342,Bedding Product 342,Home,Bedding,401.82,233.3
P00343,Laptops Product 343,Electronics,Laptops,1042.39,520.22
P00344,TVs Product 344,Electronics,TVs,1691.32,919.58
P00345,Fitness Product 345,Sports,Fitness,1621.68,848.58
P00346,Kitchen Product 346,Home,Kitchen,328.43,189.74
P00347,Outdoor Product 347,Home,Outdoor,107.59,61.51
P00348,Laptops Product 348,Electronics,Laptops,653.07,296.5
P00349,Paper Product 349,Office,Paper,2423.42,1432.94
P00350,Mens Product 350,Apparel,Mens,549.32,319.68
P00351,Tech Product 351,Office,Tech,434.71,282.17
P00352,Fitness Product 352,Sports,Fitness,1988.59,1284.9
P00353,Outdoor Product 353,Home,Outdoor,1652.53,792.15
P00354,Shoes Product 354,Apparel,Shoes,1495.37,629.03
P00355,Tech Product 355,Office,Tech,339.21,137.37
P00356,Winter Product 356,Sports,Winter,1714.08,1110.65
P00357,Outdoor Product 357,Sports,Outdoor,451.78,302.91
P00358,Outdoor Product 358,Sports,Outdoor,2195.6,1228.28
P00359,Phones Product 359,Electronics,Phones,1210.78,531.65
P00360,Winter Product 360,Sports,Winter,2070.53,1385.37
P00361,Paper Product 361,Office,Paper,1057.5,700.54
P00362,Water Product 362,Sports,Water,581.42,372.51
P00363,Storage Product 363,Office,Storage,1476.73,919.14
P00364,Outdoor Product 364,Sports,Outdoor,1069.47,509.45
P00365,Kitchen Product 365,Home,Kitchen,715.33,474.29
P00366,Storage Product 366,Office,Storage,480.66,294.52
P00367,Cameras Product 367,Electronics,Cameras,1311.13,728.89
P00368,Supplies Product 368,Office,Supplies,1722.54,852.26
P00369,Mens Product 369,Apparel,Mens,395.4,235.45
P00370,Kids Product 370,Apparel,Kids,2138.89,1127.34
P00371,Accessories Product 371,Apparel,Accessories,696.15,420.6
P00372,Tools Product 372,Home,Tools,1384.74,785.52
P00373,Decor Product 373,Home,Decor,1402.14,764.35
P00374,Accessories Product 374,Apparel,Accessories,867.45,530.57
P00375,Kitchen Product 375,Home,Kitchen,1872.06,999.64
P00376,Kitchen Product 376,Home,Kitchen,544.0,282.97
P00377,Accessories Product 377,Apparel,Accessories,1538.92,931.61
P00378,Laptops Product 378,Electronics,Laptops,978.87,578.28
P00379,Laptops Product 379,Electronics,Laptops,1184.45,687.07
P00380,Phones Product 380,Electronics,Phones,665.1,340.03
P00381,Outdoor Product 381,Sports,Outdoor,1813.99,1232.07
P00382,Paper Product 382,Office,Paper,1643.88,798.83
P00383,Outdoor Product 383,Sports,Outdoor,2364.83,1527.84
P00384,Tech Product 384,Office,Tech,36.67,24.03
P00385,Team Product 385,Sports,Team,494.92,314.37
P00386,Winter Product 386,Sports,Winter,1749.14,1022.47
P00387,Audio Product 387,Electronics,Audio,605.75,242.35
P00388,Kitchen Product 388,Home,Kitchen,2492.07,1579.73
P00389,Shoes Product 389,Apparel,Shoes,1019.57,469.1
P00390,Phones Product 390,Electronics,Phones,2298.75,1298.51
P00391,Winter Product 391,Sports,Winter,876.76,604.08
P00392,Womens Product 392,Apparel,Womens,1519.84,696.63
P00393,Paper Product 393,Office,Paper,21.58,9.77
P00394,Outdoor Product 394,Sports,Outdoor,1400.99,771.88
P00395,Mens Product 395,Apparel,Mens,2009.33,1380.44
P00396,Winter Product 396,Sports,Winter,632.85,337.2
P00397,Paper Product 397,Office,Paper,1214.24,574.31
P00398,Shoes Product 398,Apparel,Shoes,1707.17,1142.02
P00399,TVs Product 399,Electronics,TVs,299.51,125.87
P00400,Bedding Product 400,Home,Bedding,2002.4,1048.71
P00401,Accessories Product 401,Apparel,Accessories,1343.77,820.03
P00402,Womens Product 402,Apparel,Womens,725.35,376.95
P00403,Mens Product 403,Apparel,Mens,1390.83,630.8
P00404,Kids Product 404,Apparel,Kids,554.23,317.08
P00405,Bedding Product 405,Home,Bedding,1252.51,576.03
P00406,Decor Product 406,Home,Decor,524.88,241.88
P00407,Outdoor Product 407,Home,Outdoor,896.51,568.1
P00408,Phones Product 408,Electronics,Phones,1692.77,1014.02
P00409,Outdoor Product 409,Sports,Outdoor,1912.97,1075.94
P00410,TVs Product 410,Electronics,TVs,934.28,462.12
P00411,Team Product 411,Sports,Team,1232.11,856.71
P00412,Team Product 412,Sports,Team,1000.72,625.5
P00413,Kitchen Product 413,Home,Kitchen,1319.08,695.09
P00414,Outdoor Product 414,Sports,Outdoor,1261.16,653.43
P00415,Tools Product 415,Home,Tools,2441.5,1488.03
P00416,Storage Product 416,Office,Storage,1726.13,696.57
P00417,Tools Product 417,Home,Tools,1456.71,724.9
P00418,Team Product 418,Sports,Team,476.01,227.94
P00419,Shoes Product 419,Apparel,Shoes,2396.73,1205.38
P00420,Tools Product 420,Home,Tools,1065.62,560.23
P00421,Kids Product 421,Apparel,Kids,2137.27,1034.2
P00422,Outdoor Product 422,Home,Outdoor,336.54,192.76
P00423,Kitchen Product 423,Home,Kitchen,1804.83,1157.3
P00424,Water Product 424,Sports,Water,2142.21,982.89
P00425,Tools Product 425,Home,Tools,2016.11,913.26
P00426,Supplies Product 426,Office,Supplies,2488.95,1629.81
P00427,Winter Product 427,Sports,Winter,1804.2,1146.75
P00428,Kids Product 428,Apparel,Kids,1409.72,804.03
P00429,Furniture Product 429,Office,Furniture,1729.45,722.93
P00430,Shoes Product 430,Apparel,Shoes,2099.04,900.26
P00431,Kids Product 431,Apparel,Kids,908.8,516.29
P00432,Kids Product 432,Apparel,Kids,59.39,25.92
P00433,Fitness Product 433,Sports,Fitness,1446.37,860.53
P00434,Fitness Product 434,Sports,Fitness,2448.64,1188.53
P00435,Accessories Product 435,Apparel,Accessories,1223.86,759.97
P00436,TVs Product 436,Electronics,TVs,1538.02,829.19
P00437,Bedding Product 437,Home,Bedding,1605.05,1089.14
P00438,Paper Product 438,Office,Paper,1433.38,938.39
P00439,Phones Product 439,Electronics,Phones,413.38,193.65
P00440,Kids Product 440,Apparel,Kids,1778.98,1034.68
P00441,Storage Product 441,Office,Storage,2220.35,1408.35
P00442,Accessories Product 442,Apparel,Accessories,1307.13,699.43
P00443,Bedding Product 443,Home,Bedding,2136.99,934.96
P00444,Decor Product 444,Home,Decor,2351.69,1435.02
P00445,Laptops Product 445,Electronics,Laptops,425.61,183.4
P00446,TVs Product 446,Electronics,TVs,1375.6,561.12
P00447,Paper Product 447,Office,Paper,1914.84,813.76
P00448,Accessories Product 448,Apparel,Accessories,396.63,236.57
P00449,Storage Product 449,Office,Storage,581.1,361.02
P00450,Supplies Product 450,Office,Supplies,336.88,219.5
P00451,Phones Product 451,Electronics,Phones,1662.24,1093.94
P00452,Shoes Product 452,Apparel,Shoes,1173.31,775.87
P00453,Accessories Product 453,Apparel,Accessories,1117.66,772.15
P00454,Fitness Product 454,Sports,Fitness,1481.17,795.33
P00455,Water Product 455,Sports,Water,1313.41,777.35
P00456,Kids Product 456,Apparel,Kids,1209.31,566.12
P00457,TVs Product 457,Electronics,TVs,776.59,406.67
P00458,Decor Product 458,Home,Decor,36.28,20.21
P00459,Decor Product 459,Home,Decor,724.04,405.85
P00460,Tech Product 460,Office,Tech,756.03,476.12
P00461,Accessories Product 461,Apparel,Accessories,585.73,235.56
P00462,Womens Product 462,Apparel,Womens,1035.22,588.18
P00463,Supplies Product 463,Office,Supplies,416.54,258.73
P00464,Tech Product 464,Office,Tech,559.28,237.0
P00465,Outdoor Product 465,Home,Outdoor,1913.7,1287.89
P00466,Kids Product 466,Apparel,Kids,1624.66,909.13
