review_id,fiscal_year,transaction_id,acquiring_party,target_party,transaction_value,industry_sector,review_outcome,hhi_pre_merger,hhi_post_merger,hhi_delta,market_definition,review_start_date,review_end_date,_ingested_at
116,2015,TX116,Telecom Corporation,Cable Television Inc,789000000,TELECOMMUNICATIONS,APPROVED,2100,2280,180,Cable Television Services,2015-02-04,2015-03-10,2025-03-10T10:35:29
117,2015,TX117,Energy Alliance,Hydroelectric Power LLC,345000000,ENERGY,APPROVED,1600,1750,150,Hydroelectric Power Generation,2015-04-15,2015-05-15,2025-03-11T12:28:52
118,2015,TX118,Agricultural Holdings,Fertilizer Production Inc,567000000,AGRICULTURE,APPROVED,1850,2000,150,Fertilizer Manufacturing,2015-06-24,2015-07-29,2025-03-12T14:53:15
119,2015,TX119,Manufacturing Corporation,Plastics Production Corp,234000000,MANUFACTURING,APPROVED,1700,1830,130,Plastics Manufacturing,2015-09-02,2015-10-02,2025-03-13T16:37:38
120,2015,TX120,Transportation Group,Public Transit Systems Inc,789000000,TRANSPORTATION,APPROVED,2000,2180,180,Public Transit Systems,2015-11-11,2015-12-16,2025-03-14T08:31:51
121,2016,TX121,Real Estate Holdings,Warehouse Properties LLC,345000000,REAL_ESTATE,APPROVED,1750,1900,150,Warehouse and Distribution Real Estate,2016-01-19,2016-02-23,2025-03-15T11:45:24
122,2016,TX122,Retail Corporation,Pharmacy Chain Inc,567000000,RETAIL,APPROVED,1950,2100,150,Pharmacy Retail Services,2016-03-29,2016-04-29,2025-03-16T13:58:47
123,2016,TX123,Defense Holdings,Intelligence Systems Corp,789000000,DEFENSE,APPROVED,1900,2050,150,Intelligence Systems Technology,2016-06-07,2016-07-12,2025-03-17T15:42:30
124,2016,TX124,Pharmaceutical Group,Biologics Manufacturing Inc,2100000000,PHARMACEUTICALS,RESTRUCTURED,2500,3200,700,Biologics Manufacturing,2016-08-16,2017-05-14,2025-03-18T09:26:53
125,2016,TX125,Technology Corporation,Semiconductor Fab LLC,1200000000,TECHNOLOGY,SECOND_REQUEST,2300,2750,450,Semiconductor Manufacturing,2016-10-25,2017-04-23,2025-03-19T12:14:16
126,2017,TX126,Construction Group,Infrastructure Development Inc,345000000,MANUFACTURING,APPROVED,1650,1800,150,Infrastructure Development Services,2017-01-03,2017-02-07,2025-03-20T14:37:39
127,2017,TX127,Healthcare Corporation,Medical Research Institute,567000000,HEALTHCARE,APPROVED,1850,2000,150,Medical Research Services,2017-03-14,2017-04-14,2025-03-21T16:51:22
128,2017,TX128,Telecom Holdings,Internet Infrastructure Inc,789000000,TELECOMMUNICATIONS,APPROVED,2000,2180,180,Internet Infrastructure Services,2017-05-23,2017-06-27,2025-03-22T08:45:45
129,2017,TX129,Energy Corporation,Geothermal Power LLC,234000000,ENERGY,APPROVED,1600,1730,130,Geothermal Power Generation,2017-08-01,2017-09-01,2025-03-23T11:38:28
130,2017,TX130,Agricultural Group,Food Safety Testing Inc,345000000,AGRICULTURE,APPROVED,1750,1900,150,Food Safety Testing Services,2017-10-10,2017-11-14,2025-03-24T13:22:51
131,2018,TX131,Manufacturing Holdings,Advanced Materials Corp,567000000,MANUFACTURING,APPROVED,1900,2050,150,Advanced Materials Manufacturing,2018-01-18,2018-02-18,2025-03-25T15:47:14
132,2018,TX132,Transportation Corporation,Smart Logistics Inc,789000000,TRANSPORTATION,APPROVED,2050,2230,180,Smart Logistics Services,2018-03-29,2018-05-02,2025-03-26T10:33:37
133,2018,TX133,Real Estate Group,Mixed-Use Development LLC,234000000,REAL_ESTATE,APPROVED,1700,1850,150,Mixed-Use Real Estate Development,2018-06-07,2018-07-12,2025-03-27T12:56:20
134,2018,TX134,Retail Holdings,Luxury Goods Chain Inc,567000000,RETAIL,APPROVED,1950,2100,150,Luxury Retail Services,2018-08-16,2018-09-16,2025-03-28T14:48:43
135,2018,TX135,Defense Corporation,Space Systems LLC,1200000000,DEFENSE,SECOND_REQUEST,2200,2700,500,Space Systems Technology,2018-10-25,2019-04-24,2025-03-29T16:35:16
136,2019,TX136,Pharmaceutical Holdings,Personalized Medicine Inc,1800000000,PHARMACEUTICALS,CHALLENGED,2400,3100,700,Personalized Medicine Development,2019-02-02,2019-12-30,2025-03-30T08:27:39
137,2019,TX137,Technology Group,Blockchain Solutions Corp,445000000,TECHNOLOGY,APPROVED,1750,1900,150,Blockchain Technology Solutions,2019-04-13,2019-05-13,2025-03-31T11:49:22
138,2019,TX138,Construction Alliance,Green Technology Builder,234000000,MANUFACTURING,APPROVED,1650,1800,150,Green Technology Construction,2019-06-22,2019-07-27,2025-04-01T13:42:45
139,2019,TX139,Healthcare Holdings,Telehealth Platform Inc,567000000,HEALTHCARE,APPROVED,1850,2000,150,Telehealth Platform Services,2019-08-31,2019-09-30,2025-04-02T15:28:38
140,2019,TX140,Telecom Corporation,5G Equipment Manufacturing,789000000,TELECOMMUNICATIONS,APPROVED,2100,2280,180,5G Equipment Manufacturing,2019-11-09,2019-12-14,2025-04-03T09:54:21
141,2020,TX141,Energy Holdings,Carbon Capture Technology Inc,345000000,ENERGY,APPROVED,1600,1750,150,Carbon Capture Technology,2020-01-18,2020-02-22,2025-04-04T12:17:54
142,2020,TX142,Agricultural Corporation,Vertical Farming Systems LLC,234000000,AGRICULTURE,APPROVED,1700,1830,130,Vertical Farming Technology,2020-03-28,2020-04-28,2025-04-05T14:39:17
143,2020,TX143,Manufacturing Group,Electric Motor Production Inc,567000000,MANUFACTURING,APPROVED,1850,2000,150,Electric Motor Manufacturing,2020-06-06,2020-07-10,2025-04-06T16:23:50
144,2020,TX144,Transportation Holdings,Drone Delivery Services Corp,234000000,TRANSPORTATION,APPROVED,1750,1880,130,Drone Delivery Services,2020-08-15,2020-09-15,2025-04-07T08:17:23
