event_id,episode_id,event_type,begin_date,end_date,begin_time,end_time,state,state_fips,cz_name,cz_type,cz_fips,begin_lat,begin_lon,end_lat,end_lon,magnitude,magnitude_type,injuries_direct,injuries_indirect,deaths_direct,deaths_indirect,damage_property,damage_crops,source,tor_f_scale,tor_length,tor_width,flood_cause,event_narrative,episode_narrative,load_time
10026,5017,Hail,2023-05-10,2023-05-10,1545,1600,NEBRASKA,31,DOUGLAS,C,055,41.2565,-95.9345,,,2.75,MTS,0,0,0,0,1.0M,0,Trained Spotter,,,,,Softball-size hail in Omaha suburbs caused extensive damage to vehicles and skylights.,Supercells developed along dryline across eastern Nebraska.,2023-05-11 06:00:00
10027,5018,Waterspout,2023-07-08,2023-07-08,1115,1125,FLORIDA,12,PINELLAS,C,103,27.7676,-82.6403,,,,,0,0,0,0,0,0,Coast Guard,,,,,Waterspout observed off the coast near Clearwater Beach. Dissipated before reaching shore.,Afternoon sea breeze convergence generated multiple waterspouts in Tampa Bay.,2023-07-08 18:00:00
10028,5019,Heavy Snow,2023-02-20,2023-02-21,,,,COLORADO,08,DENVER,C,031,39.7392,-104.9903,,,,,0,0,0,0,0,0,CoCoRaHS,,,,,"Heavy snowfall of 14-18 inches in the Denver metro area caused school and business closures.",Upslope storm brought heavy snow to the Front Range.,2023-02-22 06:00:00
10029,5020,Lightning,2023-06-28,2023-06-28,1450,1450,SOUTH CAROLINA,45,CHARLESTON,C,019,32.7765,-79.9311,,,,,1,0,1,0,0,0,Newspaper,,,,,Lightning struck a beachgoer on Folly Beach resulting in one fatality.,Scattered thunderstorms developed in the afternoon sea breeze.,2023-06-28 18:00:00
10030,5021,High Wind,2023-11-01,2023-11-01,,,,MONTANA,30,CASCADE,C,013,47.5063,-111.2832,,,75,MG,0,0,0,0,50K,0,ASOS,,,,,"High winds along the Rocky Mountain Front with gusts to 75 mph near Great Falls. Power outages and structural damage.",Strong pressure gradient drove downslope chinook winds across central Montana.,2023-11-02 06:00:00
,5099,Tornado,2023-04-01,2023-04-01,1200,1215,UNKNOWN,,UNKNOWN,C,000,,,,,,,,0,0,0,0,0,0,,,,,,,Missing event ID record.,2023-04-02 06:00:00
10032,5022,,2023-05-01,2023-05-01,1400,1410,TEXAS,48,DALLAS,C,113,32.7767,-96.7970,,,60,MG,0,0,0,0,10K,0,ASOS,,,,,Missing event type record.,Missing episode narrative.,2023-05-02 06:00:00
10033,5023,Thunderstorm Wind,,,1500,1510,GEORGIA,13,GWINNETT,C,135,33.9600,-84.0200,,,65,MG,0,0,0,0,5K,0,Public,,,,,Missing date record.,Missing episode narrative.,2023-06-02 06:00:00
10034,5024,Tornado,2023-04-15,2023-04-15,1830,1900,ARKANSAS,05,PULASKI,C,119,34.7465,-92.2896,34.7800,-92.2400,160,EG,20,5,2,0,25.0M,5.0M,NWS Storm Survey,EF3,5.5,500,,Violent tornado with 160 mph winds struck Little Rock suburbs with major structural damage and two fatalities.,Intense supercell thunderstorms developed along squall line across Arkansas.,2023-04-16 06:00:00
10035,5025,Tornado,2023-03-24,2023-03-24,2100,2130,MISSISSIPPI,28,SHARKEY,C,125,32.9400,-90.7800,33.0100,-90.7200,205,EG,30,8,5,1,50.0M,15.0M,NWS Storm Survey,EF4,8.2,800,,Catastrophic EF4 tornado leveled homes and businesses. Five direct fatalities.,Intense spring storm system produced long-track violent tornadoes.,2023-03-25 06:00:00
10036,5026,Thunderstorm Wind,2023-04-02,2023-04-02,1645,1700,VIRGINIA,51,FAIRFAX,C,059,38.8462,-77.3064,,,65,MG,0,0,0,0,15K,0,ASOS,,,,,Thunderstorm winds downed trees and power lines in Fairfax County.,Spring severe weather across the Mid-Atlantic.,2023-04-03 06:00:00
10037,5026,Hail,2023-04-02,2023-04-02,1700,1710,VIRGINIA,51,PRINCE WILLIAM,C,153,38.7509,-77.4753,,,1.75,MTS,0,0,0,0,200K,0,Trained Spotter,,,,,Golf ball-size hail damaged vehicles in Manassas area.,Spring severe weather across the Mid-Atlantic.,2023-04-03 06:00:00
10038,5027,Flash Flood,2023-05-15,2023-05-15,1800,2200,KENTUCKY,21,JEFFERSON,C,111,38.2527,-85.7585,,,,,0,0,0,0,1.5M,0,Emergency Manager,,,,Heavy Rain,Flash flooding in Louisville metro after 4 inches of rain in 2 hours.,Slow-moving thunderstorms produced heavy rainfall over central Kentucky.,2023-05-16 06:00:00
10039,5028,Tornado,2023-03-01,2023-03-01,0230,0245,TENNESSEE,47,SHELBY,C,157,35.1495,-89.9950,35.1700,-89.9600,100,EG,4,0,0,0,2.0M,0,NWS Storm Survey,EF1,2.5,175,,Nighttime tornado damaged homes in Memphis suburbs.,QLCS produced tornadoes across the Mid-South.,2023-03-01 12:00:00
10040,5029,Flood,2023-07-20,2023-07-25,,,,VERMONT,50,WASHINGTON,C,023,44.2601,-72.5754,,,,,0,0,1,0,25.0M,5.0M,River Gauge,,,,Heavy Rain,Historic flooding along Winooski River caused road washouts and bridge damage. One fatality.,Remnants of tropical system brought prolonged heavy rainfall.,2023-07-26 06:00:00
10041,5030,Tornado,2023-06-05,2023-06-05,1530,1545,INDIANA,18,MARION,C,097,39.7684,-86.1581,39.7900,-86.1300,90,EG,2,0,0,0,1.0M,0,NWS Storm Survey,EF1,2.0,150,,Tornado in southeast Indianapolis causing roof damage to multiple structures.,Supercells formed along warm front across central Indiana.,2023-06-06 06:00:00
10042,5031,Hail,2023-06-12,2023-06-12,1630,1645,SOUTH DAKOTA,46,MINNEHAHA,C,099,43.5460,-96.7313,,,3.00,MTS,0,0,0,0,2.0M,500K,Trained Spotter,,,,,Grapefruit-size hail caused catastrophic damage to crops and property near Sioux Falls.,Isolated supercell produced giant hail across eastern South Dakota.,2023-06-13 06:00:00
10043,5032,Thunderstorm Wind,2023-07-04,2023-07-04,1900,1915,MICHIGAN,26,WAYNE,C,163,42.3314,-83.0458,,,75,MG,1,0,0,0,50K,0,ASOS,,,,,Independence Day severe thunderstorm caused tree damage and tent collapse at Detroit outdoor event.,Severe thunderstorms developed along lake-breeze boundary.,2023-07-05 06:00:00
10044,5033,Tornado,2023-04-05,2023-04-05,1545,1600,MISSOURI,29,JASPER,C,097,37.0842,-94.5133,37.1100,-94.4800,110,EG,3,0,0,0,5.0M,1.0M,NWS Storm Survey,EF2,3.0,225,,Tornado damaged residential and commercial buildings in Joplin area.,Strong supercells formed along dryline in southwest Missouri.,2023-04-06 06:00:00
10045,5034,Flash Flood,2023-08-15,2023-08-15,1400,1800,PENNSYLVANIA,42,ALLEGHENY,C,003,40.4406,-79.9959,,,,,0,0,0,0,3.0M,0,Emergency Manager,,,,Heavy Rain,Flash flooding in Pittsburgh with multiple road closures and vehicle rescues.,Training thunderstorms produced 5 inches of rain in 3 hours.,2023-08-16 06:00:00
10046,5035,High Wind,2023-10-15,2023-10-15,,,,WYOMING,56,ALBANY,C,001,41.3114,-105.5911,,,85,MG,0,0,0,0,25K,0,ASOS,,,,,"Chinook winds gusted to 85 mph near Laramie overturning semi trucks on I-80.",Strong jet stream winds produced extreme surface gusts along Front Range.,2023-10-16 06:00:00
10047,5036,Thunderstorm Wind,2023-05-28,2023-05-28,1730,1750,OHIO,39,FRANKLIN,C,049,39.9612,-82.9988,,,70,MG,0,0,0,0,75K,0,ASOS,,,,,Severe thunderstorm winds downed trees and power lines across Columbus.,Pre-frontal squall line moved through central Ohio.,2023-05-29 06:00:00
10048,5037,Tornado,2023-04-19,2023-04-19,1615,1635,LOUISIANA,22,OUACHITA,C,073,32.5093,-92.1193,32.5400,-92.0800,120,EG,6,1,0,0,5.0M,500K,NWS Storm Survey,EF2,3.8,275,,Tornado struck northeast Monroe area damaging mobile homes and businesses.,Supercell thunderstorms formed along warm front in northeast Louisiana.,2023-04-20 06:00:00
10049,5038,Winter Storm,2023-02-22,2023-02-24,,,,MICHIGAN,26,KENT,C,081,42.9634,-85.6681,,,,,0,0,0,0,0,0,NWS Observation,,,,,"Heavy lake-effect snow of 20-28 inches paralyzed Grand Rapids for 36 hours.",Arctic outbreak drove intense lake-effect snow bands off Lake Michigan.,2023-02-25 06:00:00
10050,5039,Hail,2023-05-18,2023-05-18,1500,1515,COLORADO,08,WELD,C,123,40.4233,-104.7091,,,2.50,MTS,0,0,0,0,1.5M,2.0M,Trained Spotter,,,,,Tennis ball-size hail destroyed crops and damaged homes in rural Weld County.,Supercells developed along Palmer Divide in northeast Colorado.,2023-05-19 06:00:00
10051,5040,Flash Flood,2023-09-20,2023-09-20,2200,0400,NEW YORK,36,WESTCHESTER,C,119,41.0340,-73.7629,,,,,0,0,0,0,10.0M,0,Emergency Manager,,,,Heavy Rain,Remnants of tropical system produced catastrophic flash flooding in lower Hudson Valley.,Post-tropical cyclone remnants stalled over the Northeast.,2023-09-21 06:00:00
10052,5041,Thunderstorm Wind,2023-06-22,2023-06-22,1445,1500,NORTH CAROLINA,37,WAKE,C,183,35.7796,-78.6382,,,60,MG,0,0,0,0,30K,0,ASOS,,,,,Thunderstorm winds toppled trees onto homes in Raleigh neighborhoods.,Afternoon thunderstorms developed in humid airmass over the Piedmont.,2023-06-23 06:00:00
10053,5042,Tornado,2023-05-01,2023-05-01,1400,1410,KANSAS,20,SEDGWICK,C,173,37.6872,-97.3301,37.7000,-97.3100,85,EG,0,0,0,0,500K,0,NWS Storm Survey,EF1,1.5,125,,Brief tornado touched down near Wichita airport with minor structural damage.,Isolated supercell produced brief tornado over south-central Kansas.,2023-05-02 06:00:00
10054,5043,Excessive Heat,2023-08-01,2023-08-05,,,,TEXAS,48,DALLAS,C,113,32.7767,-96.7970,,,,,5,15,3,1,0,0,NWS Observation,,,,,"Heat index exceeded 115F for five consecutive days in Dallas-Fort Worth. Three direct heat fatalities.",Persistent heat dome brought dangerous heat to the Southern Plains.,2023-08-06 06:00:00
10055,5044,Thunderstorm Wind,2023-07-18,2023-07-18,1530,1545,MINNESOTA,27,RAMSEY,C,123,44.9537,-93.0900,,,70,MG,0,0,0,0,100K,0,ASOS,,,,,Severe thunderstorm winds caused widespread tree damage in St. Paul.,MCS moved through the Twin Cities metro during afternoon rush hour.,2023-07-19 06:00:00
10056,5045,Hail,2023-04-28,2023-04-28,1700,1715,TEXAS,48,TARRANT,C,439,32.7555,-97.3308,,,2.25,MTS,0,0,0,0,5.0M,0,Public,,,,,Hen egg-size hail in Fort Worth caused significant vehicle damage at multiple car dealerships.,Severe supercells erupted along dryline across north Texas.,2023-04-29 06:00:00
10057,5046,Flash Flood,2023-07-12,2023-07-12,1600,2000,WEST VIRGINIA,54,KANAWHA,C,039,38.3498,-81.6326,,,,,0,0,1,0,5.0M,0,Emergency Manager,,,,Heavy Rain,Flash flooding in Charleston killed one person trapped in flooded vehicle.,Training thunderstorms dumped 6 inches of rain on steep terrain.,2023-07-13 06:00:00
10058,5047,Tornado,2023-04-08,2023-04-08,2230,2250,GEORGIA,13,TROUP,C,285,33.0362,-85.0322,33.0600,-85.0100,100,EG,2,0,0,0,1.5M,0,NWS Storm Survey,EF1,2.8,175,,Nighttime tornado damaged homes and uprooted trees near LaGrange.,Squall line with embedded supercells crossed west Georgia.,2023-04-09 06:00:00
10059,5048,Winter Storm,2023-03-10,2023-03-12,,,,NORTH DAKOTA,38,CASS,C,017,46.8772,-96.7898,,,,,0,0,0,0,0,0,NWS Observation,,,,,"Late season blizzard brought 16-22 inches of snow and 50 mph winds to Fargo area.",Powerful spring storm brought blizzard conditions to the Northern Plains.,2023-03-13 06:00:00
10060,5049,Thunderstorm Wind,2023-08-08,2023-08-08,1815,1830,CONNECTICUT,09,HARTFORD,C,003,41.7658,-72.6734,,,65,MG,0,0,0,0,50K,0,Public,,,,,Severe thunderstorm winds caused power outages to 15000 customers in Hartford area.,Severe thunderstorms developed along sea breeze convergence zone.,2023-08-09 06:00:00
10061,5050,Tornado,2023-05-25,2023-05-25,1645,1700,IOWA,19,POLK,C,153,41.5868,-93.6250,41.6100,-93.6000,95,EG,1,0,0,0,2.0M,0,NWS Storm Survey,EF1,2.2,150,,Tornado struck Des Moines east side damaging residences and small businesses.,Supercells developed along warm front across central Iowa.,2023-05-26 06:00:00
10062,5051,Flood,2023-06-20,2023-06-25,,,,MONTANA,30,YELLOWSTONE,C,111,45.7833,-108.5007,,,,,0,0,0,0,15.0M,0,River Gauge,,,,Heavy Rain/Snowmelt,Yellowstone River exceeded flood stage by 6 feet due to rapid snowmelt and heavy rain.,Warm temperatures and heavy rain caused rapid snowpack melting.,2023-06-26 06:00:00
10063,5052,Hail,2023-06-03,2023-06-03,1515,1530,OKLAHOMA,40,TULSA,C,143,36.1540,-95.9928,,,1.50,MTS,0,0,0,0,500K,0,Trained Spotter,,,,,Quarter-size hail covered Tulsa metro in 15 minutes.,Supercell moved through northeastern Oklahoma.,2023-06-04 06:00:00
10064,5053,Thunderstorm Wind,2023-07-25,2023-07-25,1400,1415,NEW JERSEY,34,MIDDLESEX,C,023,40.4774,-74.2591,,,60,MG,0,0,0,0,20K,0,Public,,,,,Trees and limbs downed in New Brunswick from severe thunderstorm winds.,Afternoon pop-up severe thunderstorms in humid air mass.,2023-07-26 06:00:00
10065,5054,Tornado,2023-04-12,2023-04-12,1530,1545,SOUTH CAROLINA,45,GREENVILLE,C,045,34.8526,-82.3940,34.8700,-82.3700,80,EG,0,0,0,0,750K,0,NWS Storm Survey,EF0,1.8,100,,Brief weak tornado caused minor roof damage in Greenville suburbs.,Isolated supercell formed along the Blue Ridge foothills.,2023-04-13 06:00:00
10066,5055,Flash Flood,2023-08-28,2023-08-28,1900,2300,MARYLAND,24,BALTIMORE CITY,C,510,39.2904,-76.6122,,,,,0,0,0,0,8.0M,0,Emergency Manager,,,,Heavy Rain,Flash flooding in Baltimore with road closures and basement flooding.,Slow-moving thunderstorms produced 4 inches of rain in 2 hours.,2023-08-29 06:00:00
10067,5056,Excessive Heat,2023-07-22,2023-07-25,,,,CALIFORNIA,06,SACRAMENTO,C,067,38.5816,-121.4944,,,,,4,8,1,0,0,0,NWS Observation,,,,,"Heat wave with temperatures exceeding 110F in Sacramento Valley for 4 days.",Upper-level ridge amplified over California bringing extreme heat.,2023-07-26 06:00:00
10068,5057,Thunderstorm Wind,2023-06-15,2023-06-15,1545,1600,WISCONSIN,55,DANE,C,025,43.0731,-89.4012,,,60,MG,0,0,0,0,25K,0,ASOS,,,,,Thunderstorm winds downed trees and caused minor structural damage in Madison.,Severe thunderstorms formed along mesoscale boundary.,2023-06-16 06:00:00
10069,5058,Tornado,2023-05-08,2023-05-08,1730,1745,NEBRASKA,31,LANCASTER,C,109,40.8136,-96.7026,40.8300,-96.6800,85,EG,0,0,0,0,500K,100K,NWS Storm Survey,EF1,1.5,125,,Tornado damaged farm buildings southeast of Lincoln.,Supercells developed along dryline across eastern Nebraska.,2023-05-09 06:00:00
10070,5059,High Wind,2023-12-05,2023-12-05,,,,WASHINGTON,53,KING,C,033,47.6062,-122.3321,,,65,MG,0,0,0,0,100K,0,ASOS,,,,,"Strong Pacific storm brought widespread high winds to Puget Sound region. Power outages affected 50000 customers.",Atmospheric river event brought high winds and heavy rain to the Pacific Northwest.,2023-12-06 06:00:00
10071,5060,Flash Flood,2023-09-08,2023-09-08,1500,1900,VIRGINIA,51,LOUDOUN,C,107,39.0437,-77.4875,,,,,0,0,0,0,2.0M,0,Law Enforcement,,,,Heavy Rain,Flash flooding in Leesburg area after 5 inches of rain.,Training thunderstorms produced heavy rainfall in northern Virginia.,2023-09-09 06:00:00
10072,5061,Thunderstorm Wind,2023-08-22,2023-08-22,1630,1645,ALABAMA,01,JEFFERSON,C,073,33.5207,-86.8025,,,70,MG,0,0,0,0,75K,0,ASOS,,,,,Severe thunderstorm winds toppled trees and damaged roofs in Birmingham.,Strong cold front moved through central Alabama.,2023-08-23 06:00:00
10073,5062,Hail,2023-05-05,2023-05-05,1600,1615,WYOMING,56,LARAMIE,C,021,41.1400,-104.8200,,,2.00,MTS,0,0,0,0,500K,0,Public,,,,,Golf ball-size hail damaged homes and vehicles in Cheyenne.,Supercells formed along the Colorado-Wyoming border.,2023-05-06 06:00:00
10074,5063,Tornado,2023-06-25,2023-06-25,1815,1830,OHIO,39,MONTGOMERY,C,113,39.7589,-84.1916,39.7800,-84.1700,95,EG,2,0,0,0,1.5M,0,NWS Storm Survey,EF1,2.0,150,,Tornado damaged homes and businesses in Dayton area.,Supercells formed along outflow boundary in western Ohio.,2023-06-26 06:00:00
10075,5064,Winter Storm,2023-01-15,2023-01-16,,,,OREGON,41,MULTNOMAH,C,051,45.5152,-122.6784,,,,,0,0,0,0,0,0,NWS Observation,,,,,"Ice storm brought 0.5-1.0 inches of ice to Portland area causing widespread power outages.",Arctic air intrusion combined with Pacific moisture to produce ice storm.,2023-01-17 06:00:00
10076,5065,Thunderstorm Wind,2023-07-30,2023-07-30,1500,1515,ILLINOIS,17,COOK,C,031,41.8781,-87.6298,,,75,MG,1,0,0,0,200K,0,ASOS,,,,,Severe thunderstorm derecho moved through Chicago area causing widespread wind damage.,MCS evolved into derecho across northern Illinois.,2023-07-31 06:00:00
10077,5066,Flash Flood,2023-06-28,2023-06-28,2100,0100,MISSOURI,29,JACKSON,C,095,39.0997,-94.5786,,,,,0,0,0,0,5.0M,0,Emergency Manager,,,,Heavy Rain,Flash flooding in Kansas City metro with dozens of water rescues.,Training thunderstorms produced 7 inches of rain in 4 hours.,2023-06-29 06:00:00
10078,5067,Hail,2023-04-22,2023-04-22,1530,1545,MISSISSIPPI,28,DESOTO,C,033,34.9360,-89.9740,,,1.75,MTS,0,0,0,0,300K,0,Trained Spotter,,,,,Golf ball-size hail damaged vehicles and roofs in Southaven.,Supercells moved through northern Mississippi ahead of cold front.,2023-04-23 06:00:00
10079,5068,Tornado,2023-05-30,2023-05-30,1700,1715,TEXAS,48,LUBBOCK,C,303,33.5779,-101.8552,33.5900,-101.8300,75,EG,0,0,0,0,250K,50K,NWS Storm Survey,EF0,1.2,80,,Weak tornado caused minor damage to outbuildings west of Lubbock.,Isolated supercell over the southern High Plains.,2023-05-31 06:00:00
10080,5069,Thunderstorm Wind,2023-08-05,2023-08-05,1700,1715,FLORIDA,12,ORANGE,C,095,28.5383,-81.3792,,,60,MG,0,0,0,0,15K,0,ASOS,,,,,Afternoon thunderstorm winds toppled trees near Orlando theme parks.,Sea breeze thunderstorms produced gusty winds.,2023-08-06 06:00:00
10081,5070,Flood,2023-04-15,2023-04-18,,,,MISSISSIPPI,28,WARREN,C,149,32.3526,-90.8779,,,,,0,0,0,0,2.0M,1.0M,River Gauge,,,,Heavy Rain,Mississippi River flooding at Vicksburg with levee monitoring.,Heavy spring rains caused river levels to rise across the lower Mississippi Valley.,2023-04-19 06:00:00
