order_id,order_date,customer_id,customer_name,customer_segment,country,region,product_id,product_name,category,channel,quantity,unit_price,discount_pct,extended_amount
ORD-200027,2026-01-07,CUST-0480,Pied Piper Inc.,SMB,United States,AMER,SKU-9101,"USB-C Hub Pro",Peripherals,Partner,5,19.95,0.0000,99.75
ORD-200028,2026-01-07,CUST-0480,Pied Piper Inc.,SMB,United States,AMER,SKU-9001,"Mechanical Keyboard MK-1",Peripherals,Partner,5,49.99,0.0500,237.45
ORD-200029,2026-01-07,CUST-0480,Pied Piper Inc.,SMB,United States,AMER,SKU-9214,"27" 4K UHD Monitor",Displays,Retail,1,129.00,0.0000,129.00
ORD-200030,2026-01-07,CUST-0204,Initech LLC,SMB,United States,AMER,SKU-9214,"27" 4K UHD Monitor",Displays,Partner,2,129.00,0.1500,219.30
ORD-200031,2026-01-08,CUST-0701,Stark Manufacturing,Enterprise,United States,AMER,SKU-9420,"Noise-Cancel Headset",Audio,Retail,5,179.00,0.0000,895.00
ORD-200032,2026-01-08,CUST-0480,Pied Piper Inc.,SMB,United States,AMER,SKU-9610,"Webcam 1080p",Peripherals,Web,6,59.00,0.1500,300.90
ORD-200033,2026-01-08,CUST-0701,Stark Manufacturing,Enterprise,United States,AMER,SKU-9999,"Workstation Laptop Pro",Computers,Phone,4,2499.00,0.1500,8496.60
ORD-200034,2026-01-08,CUST-0204,Initech LLC,SMB,United States,AMER,SKU-9999,"Workstation Laptop Pro",Computers,Retail,6,2499.00,0.1500,12744.90
ORD-200035,2026-01-08,CUST-0204,Initech LLC,SMB,United States,AMER,SKU-9001,"Mechanical Keyboard MK-1",Peripherals,Phone,3,49.99,0.1500,127.47
ORD-200036,2026-01-08,CUST-0322,Hooli Pte Ltd,Enterprise,Singapore,APAC,SKU-9810,"Portable SSD 2TB",Storage,Partner,4,189.00,0.0000,756.00
ORD-200037,2026-01-09,CUST-0815,Wonka Confectionery,SMB,Germany,EMEA,SKU-9610,"Webcam 1080p",Peripherals,Retail,2,59.00,0.0000,118.00
ORD-200038,2026-01-09,CUST-0591,Umbrella Health,Enterprise,United Kingdom,EMEA,SKU-9001,"Mechanical Keyboard MK-1",Peripherals,Phone,6,49.99,0.1500,254.95
ORD-200039,2026-01-09,CUST-0103,Globex SA,SMB,France,EMEA,SKU-9810,"Portable SSD 2TB",Storage,Web,4,189.00,0.0000,756.00
ORD-200040,2026-01-10,CUST-0322,Hooli Pte Ltd,Enterprise,Singapore,APAC,SKU-9810,"Portable SSD 2TB",Storage,Partner,3,189.00,0.0000,567.00
ORD-200041,2026-01-10,CUST-0591,Umbrella Health,Enterprise,United Kingdom,EMEA,SKU-9214,"27" 4K UHD Monitor",Displays,Web,6,129.00,0.0000,774.00
ORD-200042,2026-01-10,CUST-0701,Stark Manufacturing,Enterprise,United States,AMER,SKU-9101,"USB-C Hub Pro",Peripherals,Phone,4,19.95,0.0000,79.80
ORD-200043,2026-01-10,CUST-0480,Pied Piper Inc.,SMB,United States,AMER,SKU-9101,"USB-C Hub Pro",Peripherals,Web,5,19.95,0.0000,99.75
ORD-200044,2026-01-11,CUST-0480,Pied Piper Inc.,SMB,United States,AMER,SKU-9555,"Studio Microphone X",Audio,Partner,6,899.00,0.0500,5124.30
ORD-200045,2026-01-11,CUST-0204,Initech LLC,SMB,United States,AMER,SKU-9810,"Portable SSD 2TB",Storage,Retail,5,189.00,0.1000,850.50
ORD-200046,2026-01-11,CUST-0633,Wayne Logistics,Enterprise,United States,AMER,SKU-9555,"Studio Microphone X",Audio,Web,3,899.00,0.0000,2697.00
ORD-200047,2026-01-11,CUST-0633,Wayne Logistics,Enterprise,United States,AMER,SKU-9555,"Studio Microphone X",Audio,Phone,1,899.00,0.0000,899.00
ORD-200048,2026-01-11,CUST-0701,Stark Manufacturing,Enterprise,United States,AMER,SKU-9555,"Studio Microphone X",Audio,Phone,2,899.00,0.0000,1798.00
ORD-200049,2026-01-11,CUST-0042,Smith Family Trust,Consumer,United States,AMER,SKU-9555,"Studio Microphone X",Audio,Partner,2,899.00,0.0000,1798.00
ORD-200050,2026-01-12,CUST-0103,Globex SA,SMB,France,EMEA,SKU-9555,"Studio Microphone X",Audio,Retail,2,899.00,0.0000,1798.00
ORD-200051,2026-01-12,CUST-0815,Wonka Confectionery,SMB,Germany,EMEA,SKU-9214,"27" 4K UHD Monitor",Displays,Phone,3,129.00,0.1500,328.95
ORD-200052,2026-01-12,CUST-0701,Stark Manufacturing,Enterprise,United States,AMER,SKU-9101,"USB-C Hub Pro",Peripherals,Phone,2,19.95,0.1000,35.91
ORD-200053,2026-01-13,CUST-0701,Stark Manufacturing,Enterprise,United States,AMER,SKU-9555,"Studio Microphone X",Audio,Phone,1,899.00,0.0000,899.00
ORD-200054,2026-01-13,CUST-0017,Acme Industrial Holdings,Enterprise,United States,AMER,SKU-9001,"Mechanical Keyboard MK-1",Peripherals,Web,6,49.99,0.1000,269.95
ORD-200055,2026-01-13,CUST-0017,Acme Industrial Holdings,Enterprise,United States,AMER,SKU-9001,"Mechanical Keyboard MK-1",Peripherals,Web,3,49.99,0.0000,149.97
ORD-200056,2026-01-14,CUST-0322,Hooli Pte Ltd,Enterprise,Singapore,APAC,SKU-9214,"27" 4K UHD Monitor",Displays,Retail,6,129.00,0.1500,657.90
ORD-200057,2026-01-14,CUST-0701,Stark Manufacturing,Enterprise,United States,AMER,SKU-9610,"Webcam 1080p",Peripherals,Retail,6,59.00,0.0000,354.00
ORD-200058,2026-01-14,CUST-0204,Initech LLC,SMB,United States,AMER,SKU-9810,"Portable SSD 2TB",Storage,Retail,6,189.00,0.0000,1134.00
ORD-200059,2026-01-14,CUST-0042,Smith Family Trust,Consumer,United States,AMER,SKU-9999,"Workstation Laptop Pro",Computers,Web,5,2499.00,0.0000,12495.00
ORD-200060,2026-01-14,CUST-0591,Umbrella Health,Enterprise,United Kingdom,EMEA,SKU-9555,"Studio Microphone X",Audio,Retail,5,899.00,0.1500,3820.75
ORD-200061,2026-01-15,CUST-0322,Hooli Pte Ltd,Enterprise,Singapore,APAC,SKU-9420,"Noise-Cancel Headset",Audio,Phone,3,179.00,0.0000,537.00
ORD-200062,2026-01-15,CUST-0480,Pied Piper Inc.,SMB,United States,AMER,SKU-9420,"Noise-Cancel Headset",Audio,Retail,2,179.00,0.1000,322.20
ORD-200063,2026-01-15,CUST-0815,Wonka Confectionery,SMB,Germany,EMEA,SKU-9214,"27" 4K UHD Monitor",Displays,Web,2,129.00,0.0000,258.00
ORD-200064,2026-01-15,CUST-0017,Acme Industrial Holdings,Enterprise,United States,AMER,SKU-9420,"Noise-Cancel Headset",Audio,Retail,1,179.00,0.0000,179.00
ORD-200065,2026-01-16,CUST-0815,Wonka Confectionery,SMB,Germany,EMEA,SKU-9810,"Portable SSD 2TB",Storage,Retail,6,189.00,0.1500,963.90
ORD-200066,2026-01-16,CUST-0633,Wayne Logistics,Enterprise,United States,AMER,SKU-9214,"27" 4K UHD Monitor",Displays,Partner,1,129.00,0.0000,129.00
ORD-200067,2026-01-16,CUST-0017,Acme Industrial Holdings,Enterprise,United States,AMER,SKU-9720,"Docking Station Ultra",Hubs & Docks,Phone,6,219.00,0.1000,1182.60
ORD-200068,2026-01-16,CUST-0480,Pied Piper Inc.,SMB,United States,AMER,SKU-9999,"Workstation Laptop Pro",Computers,Phone,2,2499.00,0.1000,4498.20
ORD-200069,2026-01-17,CUST-0633,Wayne Logistics,Enterprise,United States,AMER,SKU-9720,"Docking Station Ultra",Hubs & Docks,Phone,1,219.00,0.0500,208.05
ORD-200070,2026-01-17,CUST-0701,Stark Manufacturing,Enterprise,United States,AMER,SKU-9214,"27" 4K UHD Monitor",Displays,Partner,2,129.00,0.1500,219.30
ORD-200071,2026-01-17,CUST-0204,Initech LLC,SMB,United States,AMER,SKU-9420,"Noise-Cancel Headset",Audio,Phone,2,179.00,0.1500,304.30
ORD-200072,2026-01-17,CUST-0591,Umbrella Health,Enterprise,United Kingdom,EMEA,SKU-9610,"Webcam 1080p",Peripherals,Web,6,59.00,0.0000,354.00
ORD-200073,2026-01-17,CUST-0815,Wonka Confectionery,SMB,Germany,EMEA,SKU-9999,"Workstation Laptop Pro",Computers,Retail,5,2499.00,0.0000,12495.00
ORD-200074,2026-01-17,CUST-0591,Umbrella Health,Enterprise,United Kingdom,EMEA,SKU-9999,"Workstation Laptop Pro",Computers,Partner,4,2499.00,0.0000,9996.00
ORD-200075,2026-01-18,CUST-0591,Umbrella Health,Enterprise,United Kingdom,EMEA,SKU-9301,"Wireless Mouse Lite",Peripherals,Retail,2,24.50,0.1500,41.65
ORD-200076,2026-01-18,CUST-0701,Stark Manufacturing,Enterprise,United States,AMER,SKU-9420,"Noise-Cancel Headset",Audio,Partner,6,179.00,0.0500,1020.30
ORD-200077,2026-01-18,CUST-0017,Acme Industrial Holdings,Enterprise,United States,AMER,SKU-9610,"Webcam 1080p",Peripherals,Partner,2,59.00,0.0000,118.00
ORD-200078,2026-01-18,CUST-0633,Wayne Logistics,Enterprise,United States,AMER,SKU-9720,"Docking Station Ultra",Hubs & Docks,Retail,6,219.00,0.0000,1314.00
ORD-200079,2026-01-19,CUST-0591,Umbrella Health,Enterprise,United Kingdom,EMEA,SKU-9301,"Wireless Mouse Lite",Peripherals,Partner,3,24.50,0.0000,73.50
ORD-200080,2026-01-19,CUST-0204,Initech LLC,SMB,United States,AMER,SKU-9610,"Webcam 1080p",Peripherals,Web,4,59.00,0.1000,212.40
ORD-200081,2026-01-19,CUST-0591,Umbrella Health,Enterprise,United Kingdom,EMEA,SKU-9301,"Wireless Mouse Lite",Peripherals,Web,2,24.50,0.0000,49.00
ORD-200082,2026-01-20,CUST-0103,Globex SA,SMB,France,EMEA,SKU-9420,"Noise-Cancel Headset",Audio,Partner,3,179.00,0.0500,510.15
ORD-200083,2026-01-20,CUST-0701,Stark Manufacturing,Enterprise,United States,AMER,SKU-9001,"Mechanical Keyboard MK-1",Peripherals,Partner,1,49.99,0.0500,47.49
ORD-200084,2026-01-20,CUST-0103,Globex SA,SMB,France,EMEA,SKU-9101,"USB-C Hub Pro",Peripherals,Phone,2,19.95,0.0000,39.90
ORD-200085,2026-01-20,CUST-0204,Initech LLC,SMB,United States,AMER,SKU-9214,"27" 4K UHD Monitor",Displays,Partner,6,129.00,0.0500,735.30
ORD-200086,2026-01-21,CUST-0322,Hooli Pte Ltd,Enterprise,Singapore,APAC,SKU-9214,"27" 4K UHD Monitor",Displays,Phone,3,129.00,0.0000,387.00
ORD-200087,2026-01-21,CUST-0204,Initech LLC,SMB,United States,AMER,SKU-9420,"Noise-Cancel Headset",Audio,Partner,5,179.00,0.1500,760.75
ORD-200088,2026-01-21,CUST-0591,Umbrella Health,Enterprise,United Kingdom,EMEA,SKU-9810,"Portable SSD 2TB",Storage,Retail,2,189.00,0.1000,340.20
ORD-200089,2026-01-21,CUST-0042,Smith Family Trust,Consumer,United States,AMER,SKU-9999,"Workstation Laptop Pro",Computers,Partner,5,2499.00,0.0000,12495.00
ORD-200090,2026-01-22,CUST-0701,Stark Manufacturing,Enterprise,United States,AMER,SKU-9214,"27" 4K UHD Monitor",Displays,Retail,4,129.00,0.1500,438.60
ORD-200091,2026-01-22,CUST-0480,Pied Piper Inc.,SMB,United States,AMER,SKU-9810,"Portable SSD 2TB",Storage,Retail,1,189.00,0.0000,189.00
ORD-200092,2026-01-22,CUST-0480,Pied Piper Inc.,SMB,United States,AMER,SKU-9720,"Docking Station Ultra",Hubs & Docks,Retail,6,219.00,0.0500,1248.30
ORD-200093,2026-01-22,CUST-0591,Umbrella Health,Enterprise,United Kingdom,EMEA,SKU-9001,"Mechanical Keyboard MK-1",Peripherals,Retail,5,49.99,0.0000,249.95
ORD-200094,2026-01-23,CUST-0701,Stark Manufacturing,Enterprise,United States,AMER,SKU-9555,"Studio Microphone X",Audio,Web,2,899.00,0.0500,1708.10
ORD-200095,2026-01-23,CUST-0480,Pied Piper Inc.,SMB,United States,AMER,SKU-9999,"Workstation Laptop Pro",Computers,Partner,2,2499.00,0.1000,4498.20
ORD-200096,2026-01-23,CUST-0103,Globex SA,SMB,France,EMEA,SKU-9101,"USB-C Hub Pro",Peripherals,Web,1,19.95,0.0000,19.95
ORD-200097,2026-01-23,CUST-0103,Globex SA,SMB,France,EMEA,SKU-9810,"Portable SSD 2TB",Storage,Phone,3,189.00,0.0000,567.00
ORD-200098,2026-01-23,CUST-0017,Acme Industrial Holdings,Enterprise,United States,AMER,SKU-9301,"Wireless Mouse Lite",Peripherals,Web,2,24.50,0.0000,49.00
ORD-200099,2026-01-24,CUST-0204,Initech LLC,SMB,United States,AMER,SKU-9101,"USB-C Hub Pro",Peripherals,Web,6,19.95,0.0000,119.70
ORD-200100,2026-01-24,CUST-0042,Smith Family Trust,Consumer,United States,AMER,SKU-9301,"Wireless Mouse Lite",Peripherals,Phone,2,24.50,0.1500,41.65
ORD-200101,2026-01-24,CUST-0591,Umbrella Health,Enterprise,United Kingdom,EMEA,SKU-9610,"Webcam 1080p",Peripherals,Retail,2,59.00,0.0500,112.10
ORD-200102,2026-01-25,CUST-0591,Umbrella Health,Enterprise,United Kingdom,EMEA,SKU-9214,"27" 4K UHD Monitor",Displays,Phone,6,129.00,0.0000,774.00
ORD-200103,2026-01-25,CUST-0591,Umbrella Health,Enterprise,United Kingdom,EMEA,SKU-9720,"Docking Station Ultra",Hubs & Docks,Web,4,219.00,0.0000,876.00
ORD-200104,2026-01-25,CUST-0017,Acme Industrial Holdings,Enterprise,United States,AMER,SKU-9610,"Webcam 1080p",Peripherals,Phone,2,59.00,0.1500,100.30
ORD-200105,2026-01-25,CUST-0480,Pied Piper Inc.,SMB,United States,AMER,SKU-9420,"Noise-Cancel Headset",Audio,Partner,5,179.00,0.0000,895.00
ORD-200106,2026-01-25,CUST-0591,Umbrella Health,Enterprise,United Kingdom,EMEA,SKU-9301,"Wireless Mouse Lite",Peripherals,Partner,4,24.50,0.0000,98.00
ORD-200107,2026-01-26,CUST-0017,Acme Industrial Holdings,Enterprise,United States,AMER,SKU-9214,"27" 4K UHD Monitor",Displays,Phone,4,129.00,0.1000,464.40
ORD-200108,2026-01-26,CUST-0103,Globex SA,SMB,France,EMEA,SKU-9301,"Wireless Mouse Lite",Peripherals,Phone,5,24.50,0.0000,122.50
ORD-200109,2026-01-26,CUST-0322,Hooli Pte Ltd,Enterprise,Singapore,APAC,SKU-9420,"Noise-Cancel Headset",Audio,Partner,1,179.00,0.0000,179.00
ORD-200110,2026-01-26,CUST-0042,Smith Family Trust,Consumer,United States,AMER,SKU-9214,"27" 4K UHD Monitor",Displays,Web,2,129.00,0.1000,232.20
ORD-200111,2026-01-27,CUST-0591,Umbrella Health,Enterprise,United Kingdom,EMEA,SKU-9555,"Studio Microphone X",Audio,Retail,3,899.00,0.0000,2697.00
ORD-200112,2026-01-27,CUST-0815,Wonka Confectionery,SMB,Germany,EMEA,SKU-9610,"Webcam 1080p",Peripherals,Retail,5,59.00,0.0000,295.00
ORD-200113,2026-01-27,CUST-0480,Pied Piper Inc.,SMB,United States,AMER,SKU-9301,"Wireless Mouse Lite",Peripherals,Web,5,24.50,0.0500,116.38
ORD-200114,2026-01-27,CUST-0017,Acme Industrial Holdings,Enterprise,United States,AMER,SKU-9810,"Portable SSD 2TB",Storage,Web,5,189.00,0.0000,945.00
ORD-200115,2026-01-28,CUST-0591,Umbrella Health,Enterprise,United Kingdom,EMEA,SKU-9001,"Mechanical Keyboard MK-1",Peripherals,Retail,4,49.99,0.0500,189.96
ORD-200116,2026-01-28,CUST-0815,Wonka Confectionery,SMB,Germany,EMEA,SKU-9214,"27" 4K UHD Monitor",Displays,Retail,5,129.00,0.1000,580.50
ORD-200117,2026-01-28,CUST-0042,Smith Family Trust,Consumer,United States,AMER,SKU-9610,"Webcam 1080p",Peripherals,Partner,6,59.00,0.1000,318.60
ORD-200118,2026-01-29,CUST-0591,Umbrella Health,Enterprise,United Kingdom,EMEA,SKU-9810,"Portable SSD 2TB",Storage,Web,1,189.00,0.0000,189.00
ORD-200119,2026-01-29,CUST-0017,Acme Industrial Holdings,Enterprise,United States,AMER,SKU-9301,"Wireless Mouse Lite",Peripherals,Web,5,24.50,0.0000,122.50
ORD-200120,2026-01-29,CUST-0701,Stark Manufacturing,Enterprise,United States,AMER,SKU-9555,"Studio Microphone X",Audio,Web,5,899.00,0.0500,4270.25
ORD-200121,2026-01-30,CUST-0591,Umbrella Health,Enterprise,United Kingdom,EMEA,SKU-9420,"Noise-Cancel Headset",Audio,Web,2,179.00,0.1000,322.20
ORD-200122,2026-01-30,CUST-0701,Stark Manufacturing,Enterprise,United States,AMER,SKU-9101,"USB-C Hub Pro",Peripherals,Retail,3,19.95,0.0000,59.85
ORD-200123,2026-01-30,CUST-0322,Hooli Pte Ltd,Enterprise,Singapore,APAC,SKU-9001,"Mechanical Keyboard MK-1",Peripherals,Partner,1,49.99,0.1000,44.99
ORD-200124,2026-01-31,CUST-0204,Initech LLC,SMB,United States,AMER,SKU-9810,"Portable SSD 2TB",Storage,Retail,3,189.00,0.1500,481.95
ORD-200125,2026-01-31,CUST-0633,Wayne Logistics,Enterprise,United States,AMER,SKU-9555,"Studio Microphone X",Audio,Retail,3,899.00,0.1500,2292.45
ORD-200126,2026-01-31,CUST-0204,Initech LLC,SMB,United States,AMER,SKU-9214,"27" 4K UHD Monitor",Displays,Phone,5,129.00,0.1000,580.50
ORD-200127,2026-01-31,CUST-0591,Umbrella Health,Enterprise,United Kingdom,EMEA,SKU-9001,"Mechanical Keyboard MK-1",Peripherals,Web,2,49.99,0.0500,94.98
ORD-200128,2026-01-31,CUST-0042,Smith Family Trust,Consumer,United States,AMER,SKU-9301,"Wireless Mouse Lite",Peripherals,Partner,3,24.50,0.1000,66.15
ORD-200129,2026-01-31,CUST-0017,Acme Industrial Holdings,Enterprise,United States,AMER,SKU-9101,"USB-C Hub Pro",Peripherals,Phone,6,19.95,0.0000,119.70
ORD-200130,2026-02-01,CUST-0701,Stark Manufacturing,Enterprise,United States,AMER,SKU-9101,"USB-C Hub Pro",Peripherals,Web,5,19.95,0.0500,94.76
ORD-200131,2026-02-01,CUST-0204,Initech LLC,SMB,United States,AMER,SKU-9720,"Docking Station Ultra",Hubs & Docks,Partner,6,219.00,0.0500,1248.30
ORD-200132,2026-02-01,CUST-0322,Hooli Pte Ltd,Enterprise,Singapore,APAC,SKU-9555,"Studio Microphone X",Audio,Partner,6,899.00,0.0000,5394.00
ORD-200133,2026-02-01,CUST-0701,Stark Manufacturing,Enterprise,United States,AMER,SKU-9999,"Workstation Laptop Pro",Computers,Web,3,2499.00,0.0000,7497.00
ORD-200134,2026-02-01,CUST-0103,Globex SA,SMB,France,EMEA,SKU-9420,"Noise-Cancel Headset",Audio,Web,2,179.00,0.1500,304.30
ORD-200135,2026-02-01,CUST-0204,Initech LLC,SMB,United States,AMER,SKU-9555,"Studio Microphone X",Audio,Web,5,899.00,0.0500,4270.25
ORD-200136,2026-02-02,CUST-0591,Umbrella Health,Enterprise,United Kingdom,EMEA,SKU-9101,"USB-C Hub Pro",Peripherals,Phone,6,19.95,0.0000,119.70
ORD-200137,2026-02-02,CUST-0042,Smith Family Trust,Consumer,United States,AMER,SKU-9720,"Docking Station Ultra",Hubs & Docks,Retail,4,219.00,0.0000,876.00
ORD-200138,2026-02-02,CUST-0204,Initech LLC,SMB,United States,AMER,SKU-9420,"Noise-Cancel Headset",Audio,Web,1,179.00,0.0500,170.05
ORD-200139,2026-02-02,CUST-0017,Acme Industrial Holdings,Enterprise,United States,AMER,SKU-9555,"Studio Microphone X",Audio,Web,1,899.00,0.0000,899.00
ORD-200140,2026-02-02,CUST-0815,Wonka Confectionery,SMB,Germany,EMEA,SKU-9810,"Portable SSD 2TB",Storage,Web,4,189.00,0.1500,642.60
ORD-200141,2026-02-03,CUST-0633,Wayne Logistics,Enterprise,United States,AMER,SKU-9720,"Docking Station Ultra",Hubs & Docks,Partner,2,219.00,0.1500,372.30
ORD-200142,2026-02-03,CUST-0815,Wonka Confectionery,SMB,Germany,EMEA,SKU-9555,"Studio Microphone X",Audio,Web,4,899.00,0.0500,3416.20
ORD-200143,2026-02-03,CUST-0017,Acme Industrial Holdings,Enterprise,United States,AMER,SKU-9420,"Noise-Cancel Headset",Audio,Retail,3,179.00,0.0000,537.00
ORD-200144,2026-02-04,CUST-0204,Initech LLC,SMB,United States,AMER,SKU-9999,"Workstation Laptop Pro",Computers,Web,6,2499.00,0.0000,14994.00
ORD-200145,2026-02-04,CUST-0042,Smith Family Trust,Consumer,United States,AMER,SKU-9610,"Webcam 1080p",Peripherals,Web,3,59.00,0.0000,177.00
ORD-200146,2026-02-04,CUST-0480,Pied Piper Inc.,SMB,United States,AMER,SKU-9301,"Wireless Mouse Lite",Peripherals,Retail,1,24.50,0.0500,23.27
ORD-200147,2026-02-05,CUST-0204,Initech LLC,SMB,United States,AMER,SKU-9420,"Noise-Cancel Headset",Audio,Web,1,179.00,0.1500,152.15
ORD-200148,2026-02-05,CUST-0591,Umbrella Health,Enterprise,United Kingdom,EMEA,SKU-9420,"Noise-Cancel Headset",Audio,Partner,1,179.00,0.0000,179.00
ORD-200149,2026-02-05,CUST-0815,Wonka Confectionery,SMB,Germany,EMEA,SKU-9001,"Mechanical Keyboard MK-1",Peripherals,Retail,2,49.99,0.0500,94.98
ORD-200150,2026-02-05,CUST-0701,Stark Manufacturing,Enterprise,United States,AMER,SKU-9555,"Studio Microphone X",Audio,Web,3,899.00,0.0000,2697.00
ORD-200151,2026-02-05,CUST-0701,Stark Manufacturing,Enterprise,United States,AMER,SKU-9555,"Studio Microphone X",Audio,Web,3,899.00,0.1500,2292.45
ORD-200152,2026-02-05,CUST-0103,Globex SA,SMB,France,EMEA,SKU-9610,"Webcam 1080p",Peripherals,Phone,4,59.00,0.0000,236.00
ORD-200153,2026-02-06,CUST-0103,Globex SA,SMB,France,EMEA,SKU-9555,"Studio Microphone X",Audio,Retail,2,899.00,0.0500,1708.10
ORD-200154,2026-02-06,CUST-0042,Smith Family Trust,Consumer,United States,AMER,SKU-9810,"Portable SSD 2TB",Storage,Web,3,189.00,0.0000,567.00
ORD-200155,2026-02-06,CUST-0701,Stark Manufacturing,Enterprise,United States,AMER,SKU-9999,"Workstation Laptop Pro",Computers,Retail,2,2499.00,0.1500,4248.30
ORD-200156,2026-02-07,CUST-0633,Wayne Logistics,Enterprise,United States,AMER,SKU-9301,"Wireless Mouse Lite",Peripherals,Web,3,24.50,0.1500,62.48
ORD-200157,2026-02-07,CUST-0480,Pied Piper Inc.,SMB,United States,AMER,SKU-9610,"Webcam 1080p",Peripherals,Retail,5,59.00,0.0500,280.25
ORD-200158,2026-02-07,CUST-0103,Globex SA,SMB,France,EMEA,SKU-9555,"Studio Microphone X",Audio,Retail,1,899.00,0.1500,764.15
ORD-200159,2026-02-08,CUST-0042,Smith Family Trust,Consumer,United States,AMER,SKU-9720,"Docking Station Ultra",Hubs & Docks,Phone,1,219.00,0.0000,219.00
ORD-200160,2026-02-08,CUST-0591,Umbrella Health,Enterprise,United Kingdom,EMEA,SKU-9214,"27" 4K UHD Monitor",Displays,Partner,3,129.00,0.0000,387.00
